zip,po_name,Population
37013,ANTIOCH,102184
37211,NASHVILLE,75073
37122,MOUNT JULIET,62696
37122,MOUNT JULIET,62696
37064,FRANKLIN,60932
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37027,BRENTWOOD,60610
37221,NASHVILLE,42232
37115,MADISON,41274
37207,NASHVILLE,40697
37207,NASHVILLE,40697
37076,HERMITAGE,38557
37076,HERMITAGE,38557
37209,NASHVILLE,37363
37086,LA VERGNE,36668
37072,GOODLETTSVILLE,32097
37072,GOODLETTSVILLE,32097
37072,GOODLETTSVILLE,32097
37214,NASHVILLE,31341
37217,NASHVILLE,31096
37206,NASHVILLE,28694
37205,NASHVILLE,25437
37138,OLD HICKORY,24267
37215,NASHVILLE,22829
37135,NOLENSVILLE,21171
37212,NASHVILLE,20917
37208,NASHVILLE,19546
37216,NASHVILLE,19227
37015,ASHLAND CITY,18979
37015,ASHLAND CITY,18979
37203,NASHVILLE,18100
37204,NASHVILLE,17047
37210,NASHVILLE,16593
37218,NASHVILLE,15056
37080,JOELTON,7101
37080,JOELTON,7101
37220,NASHVILLE,6481
37189,WHITES CREEK,4412
37143,PEGRAM,3864
37143,PEGRAM,3864
37143,PEGRAM,3864
37143,PEGRAM,3864
37228,NASHVILLE,1650
37201,NASHVILLE,1477
37219,NASHVILLE,1411
37213,NASHVILLE,45
37232,NASHVILLE,0
